           32           16            1
  0.00  0.38  0.71  0.92  1.00  0.92  0.71  0.38  0.00 -0.38 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38
  0.00  0.38  0.71  0.92  1.00  0.92  0.71  0.38  0.00 -0.38 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38
  0.71  0.92  1.00  0.92  0.71  0.38  0.00 -0.38 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38  0.00  0.38
  0.71  0.92  1.00  0.92  0.71  0.38  0.00 -0.38 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38  0.00  0.38
  1.00  0.92  0.71  0.38  0.00 -0.38 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38  0.00  0.38  0.71  0.92
  1.00  0.92  0.71  0.38  0.00 -0.38 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38  0.00  0.38  0.71  0.92
  0.71  0.38  0.00 -0.38 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38  0.00  0.38  0.71  0.92  1.00  0.92
  0.71  0.38  0.00 -0.38 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38  0.00  0.38  0.71  0.92  1.00  0.92
  0.00 -0.38 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38  0.00  0.38  0.71  0.92  1.00  0.92  0.71  0.38
  0.00 -0.38 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38  0.00  0.38  0.71  0.92  1.00  0.92  0.71  0.38
 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38  0.00  0.38  0.71  0.92  1.00  0.92  0.71  0.38  0.00 -0.38
 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38  0.00  0.38  0.71  0.92  1.00  0.92  0.71  0.38  0.00 -0.38
 -1.00 -0.92 -0.71 -0.38  0.00  0.38  0.71  0.92  1.00  0.92  0.71  0.38  0.00 -0.38 -0.71 -0.92
 -1.00 -0.92 -0.71 -0.38  0.00  0.38  0.71  0.92  1.00  0.92  0.71  0.38  0.00 -0.38 -0.71 -0.92
 -0.71 -0.38  0.00  0.38  0.71  0.92  1.00  0.92  0.71  0.38  0.00 -0.38 -0.71 -0.92 -1.00 -0.92
 -0.71 -0.38  0.00  0.38  0.71  0.92  1.00  0.92  0.71  0.38  0.00 -0.38 -0.71 -0.92 -1.00 -0.92
  0.00  0.38  0.71  0.92  1.00  0.92  0.71  0.38  0.00 -0.38 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38
  0.00  0.38  0.71  0.92  1.00  0.92  0.71  0.38  0.00 -0.38 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38
  0.71  0.92  1.00  0.92  0.71  0.38  0.00 -0.38 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38  0.00  0.38
  0.71  0.92  1.00  0.92  0.71  0.38  0.00 -0.38 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38  0.00  0.38
  1.00  0.92  0.71  0.38  0.00 -0.38 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38  0.00  0.38  0.71  0.92
  1.00  0.92  0.71  0.38  0.00 -0.38 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38  0.00  0.38  0.71  0.92
  0.71  0.38  0.00 -0.38 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38  0.00  0.38  0.71  0.92  1.00  0.92
  0.71  0.38  0.00 -0.38 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38  0.00  0.38  0.71  0.92  1.00  0.92
  0.00 -0.38 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38  0.00  0.38  0.71  0.92  1.00  0.92  0.71  0.38
  0.00 -0.38 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38  0.00  0.38  0.71  0.92  1.00  0.92  0.71  0.38
 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38  0.00  0.38  0.71  0.92  1.00  0.92  0.71  0.38  0.00 -0.38
 -0.71 -0.92 -1.00 -0.92 -0.71 -0.38  0.00  0.38  0.71  0.92  1.00  0.92  0.71  0.38  0.00 -0.38
 -1.00 -0.92 -0.71 -0.38  0.00  0.38  0.71  0.92  1.00  0.92  0.71  0.38  0.00 -0.38 -0.71 -0.92
 -1.00 -0.92 -0.71 -0.38  0.00  0.38  0.71  0.92  1.00  0.92  0.71  0.38  0.00 -0.38 -0.71 -0.92
 -0.71 -0.38  0.00  0.38  0.71  0.92  1.00  0.92  0.71  0.38  0.00 -0.38 -0.71 -0.92 -1.00 -0.92
 -0.71 -0.38  0.00  0.38  0.71  0.92  1.00  0.92  0.71  0.38  0.00 -0.38 -0.71 -0.92 -1.00 -0.92
