 ;tom/dat   08-DEC-2004 AT 15:47:02   sel001.dat
    1 1   1.0000     
    2 1   2.0000     
    3 1   3.0000     
    4 1   4.0000     
    5 1   5.0000     
    6 1   6.0000     
    7 1   7.0000     
    8 1   8.0000     
    9 1   9.0000     
   10 1   10.000     
   11 1   11.000     
   12 1   12.000     
   13 1   13.000     
   14 1   14.000     
   15 1   15.000     
   16 1   16.000     
   17 1   17.000     
   18 1   18.000     
   19 1   19.000     
   20 1   20.000     
   21 1   21.000     
   22 1   22.000     
   23 1   23.000     
   24 1   24.000     
   25 1   25.000     
   26 1   26.000     
   27 1   27.000     
   28 1   28.000     
   29 1   29.000     
   30 1   30.000     
   31 1   31.000     
   32 1   32.000     
   33 1   33.000     
   34 1   34.000     
   35 1   35.000     
   36 1   36.000     
   37 1   37.000     
   38 1   38.000     
   39 1   39.000     
   40 1   40.000     
   41 1   41.000     
   42 1   42.000     
   43 1   43.000     
   44 1   44.000     
   45 1   45.000     
   46 1   46.000     
   47 1   47.000     
   48 1   48.000     
   49 1   49.000     
   50 1   50.000     
   51 1   51.000     
   52 1   52.000     
   53 1   53.000     
   54 1   54.000     
   55 1   55.000     
   56 1   56.000     
   57 1   57.000     
   58 1   58.000     
   59 1   59.000     
   60 1   60.000     
   61 1   61.000     
