 ;tom/dat   08-DEC-2004 AT 15:47:08   sel002.dat
    1 1   62.000     
    2 1   63.000     
    3 1   64.000     
    4 1   65.000     
    5 1   66.000     
    6 1   67.000     
    7 1   68.000     
    8 1   69.000     
    9 1   70.000     
   10 1   71.000     
   11 1   72.000     
   12 1   73.000     
   13 1   74.000     
   14 1   75.000     
   15 1   76.000     
   16 1   77.000     
   17 1   78.000     
   18 1   79.000     
   19 1   80.000     
   20 1   81.000     
   21 1   82.000     
   22 1   83.000     
   23 1   84.000     
   24 1   85.000     
   25 1   86.000     
   26 1   87.000     
   27 1   88.000     
   28 1   89.000     
   29 1   90.000     
   30 1   91.000     
   31 1   92.000     
   32 1   93.000     
   33 1   94.000     
   34 1   95.000     
   35 1   96.000     
   36 1   97.000     
   37 1   98.000     
   38 1   99.000     
   39 1   100.00     
   40 1   101.00     
   41 1   102.00     
   42 1   103.00     
   43 1   104.00     
   44 1   105.00     
   45 1   106.00     
   46 1   107.00     
   47 1   108.00     
   48 1   109.00     
   49 1   110.00     
   50 1   111.00     
   51 1   112.00     
   52 1   113.00     
   53 1   114.00     
   54 1   115.00     
   55 1   116.00     
   56 1   117.00     
   57 1   118.00     
   58 1   119.00     
   59 1   120.00     
   60 1   121.00     
   61 1   122.00     
